genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,genre_name
53,2501,en,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,Thriller
28,37834,en,Knight and Day,17.713,2010-06-23,Knight and Day,6.0,2494,Action
35,37834,en,Knight and Day,17.713,2010-06-23,Knight and Day,6.0,2494,Comedy
12,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Adventure
10751,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Family
14,10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,Fantasy
18,41233,en,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,Drama
10749,41233,en,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,Romance
53,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Thriller
28,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Action
12,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Adventure
35,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Comedy
80,34544,en,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,Crime
18,45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,Drama
36,45269,en,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,History
28,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Action
35,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Comedy
80,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Crime
53,9737,en,Bad Boys,16.608,1995-04-07,Bad Boys,6.6,2936,Thriller
28,10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Action
12,10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Adventure
10751,10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Family
14,10196,en,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,Fantasy
28,34851,en,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,Action
878,34851,en,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,Science Fiction
12,34851,en,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,Adventure
53,34851,en,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,Thriller
18,37799,en,The Social Network,15.889,2010-10-01,The Social Network,7.2,6116,Drama
28,38234,en,Undisputed III: Redemption,15.886,2010-05-22,Undisputed III: Redemption,7.4,302,Action
53,38234,en,Undisputed III: Redemption,15.886,2010-05-22,Undisputed III: Redemption,7.4,302,Thriller
18,568,en,Apollo 13,15.855,1995-06-30,Apollo 13,7.4,2821,Drama
36,568,en,Apollo 13,15.855,1995-06-30,Apollo 13,7.4,2821,History
28,95,en,Armageddon,15.799,1998-07-01,Armageddon,6.7,4267,Action
53,95,en,Armageddon,15.799,1998-07-01,Armageddon,6.7,4267,Thriller
878,95,en,Armageddon,15.799,1998-07-01,Armageddon,6.7,4267,Science Fiction
12,95,en,Armageddon,15.799,1998-07-01,Armageddon,6.7,4267,Adventure
28,2503,en,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,Action
18,2503,en,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,Drama
9648,2503,en,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,Mystery
53,2503,en,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,Thriller
12,18823,en,Clash of the Titans,15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714,Adventure
14,18823,en,Clash of the Titans,15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714,Fantasy
28,18823,en,Clash of the Titans,15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714,Action
35,34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,Comedy
10749,34806,en,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,Romance
28,20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,Action
12,20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,Adventure
18,20662,en,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,Drama
35,35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,Comedy
14,35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,Fantasy
10751,35019,en,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,Family
35,10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,Comedy
12,10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,Adventure
14,10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,Fantasy
16,10192,en,Shrek Forever After,15.041,2010-05-16,Shrek Forever After,6.1,3843,Animation
